emotion,word
anger,birch
anticipation,birth
anticipation,birthday
anger,birthplace
anger,bitch
anger,bitterly
anger,bitterness
surprise,bizarre
sadness,black
anger,blackmail
fear,blackness
anger,blame
trust,blanket
anger,blasphemous
anger,blasphemy
anger,blast
anger,blatant
anger,blaze
sadness,bleak
disgust,bleeding
anger,blemish
anticipation,bless
joy,blessed
anticipation,blessing
anticipation,blessings
disgust,blight
disgust,blighted
anticipation,blindfold
sadness,blindly
sadness,blindness
joy,bliss
joy,blissful
disgust,blister
surprise,blitz
disgust,bloated
disgust,blob
anger,blockade
anger,bloodshed
anger,bloodthirsty
anger,bloody
anticipation,bloom
joy,blossom
sadness,blue
fear,blues
disgust,blunder
anticipation,board
trust,bodyguard
anger,bogus
disgust,boil
anger,boisterous
anger,bomb
anger,bombard
anger,bombardment
disgust,bombed
fear,bomber
joy,bonanza
fear,bondage
anticipation,bonus
anticipation,boomerang
sadness,boredom
anger,bothering
sadness,bottom
fear,bottomless
anticipation,bountiful
anticipation,bounty
joy,bouquet
anger,bout
disgust,bovine
disgust,bowels
anger,boxing
disgust,boy
disgust,bran
anger,brawl
anger,brazen
surprise,break
sadness,breakup
disgust,bribery
anticipation,bridal
anticipation,bride
anticipation,bridegroom
joy,bridesmaid
fear,brigade
joy,brighten
anticipation,brilliant
anger,brimstone
anticipation,broadside
anger,broil
fear,broke
anger,broken
disgust,brothel
trust,brother
trust,brotherhood
anticipation,brotherly
anticipation,bruise
anger,brunt
anger,brutal
anger,brutality
anger,brute
fear,buck
anticipation,buddy
trust,budget
anger,buffet
disgust,bug
anger,bugaboo
anticipation,bugle
anger,bully
disgust,bum
anger,bummer
fear,bunker
fear,burdensome
trust,bureaucracy
disgust,bureaucrat
disgust,burglar
anger,burial
fear,buried
anger,burke
surprise,burlesque
disgust,burnt
trust,bursary
sadness,bury
joy,buss
anger,busted
anger,butcher
trust,butler
anticipation,buzz
anticipation,bye
trust,bylaw
fear,cabal
trust,cabinet
surprise,cable
anger,cacophony
anger,cad
disgust,cadaver
sadness,cage
sadness,calamity
anticipation,calculation
trust,calculator
joy,calf
anger,callous
anticipation,calls
surprise,camouflage
surprise,camouflaged
anger,campaigning
sadness,cancel
anger,cancer
anticipation,candid
anger,cane
anger,canker
disgust,cannibal
disgust,cannibalism
anger,cannon
trust,canons
anticipation,cap
anticipation,captivate
fear,captive
sadness,captivity
fear,captor
disgust,carcass
fear,carcinoma
fear,cardiomyopathy
anticipation,career
anger,carelessness
trust,caretaker
disgust,caries
anger,carnage
fear,carnivorous
joy,carol
fear,cartridge
fear,case
anger,cash
trust,cashier
fear,casket
anger,casualty
anticipation,cataract
anger,catastrophe
surprise,catch
disgust,catechism
joy,cathedral
anger,caution
fear,cautionary
anticipation,cautious
fear,cautiously
anticipation,celebrated
anticipation,celebrating
anticipation,celebration
anger,celebrity
anticipation,celestial
anticipation,cement
fear,cemetery
anger,censor
trust,center
joy,ceremony
trust,certify
disgust,cess
anger,chaff
disgust,chagrin
trust,chairman
trust,chairwoman
anger,challenge
anticipation,champion
surprise,chance
trust,chancellor
fear,change
anticipation,changeable
anger,chant
anger,chaos
anger,chaotic
trust,chaplain
fear,chargeable
anticipation,charitable
joy,charity
joy,charmed
trust,chart
fear,chasm
anticipation,chastity
anger,cheat
trust,checklist
anticipation,cheer
joy,cheerful
anticipation,cheerfulness
joy,cheering
anticipation,cheery
trust,chemist
anticipation,cherish
anticipation,chicane
fear,chicken
anticipation,child
joy,childhood
fear,chimera
joy,chirp
anticipation,chocolate
joy,choir
anger,choke
disgust,cholera
joy,choral
sadness,chronic
trust,chronicle
anticipation,chuckle
anticipation,church
trust,civilization
joy,civilized
anger,claimant
anger,clamor
trust,clan
anticipation,clap
anger,clash
anger,clashing
joy,classics
anger,claw
joy,clean
trust,clearance
fear,cleave
trust,clerical
fear,cliff
anticipation,climax
anticipation,clock
joy,closeness
anticipation,closure
sadness,clouded
fear,cloudiness
sadness,cloudy
anticipation,clown
anticipation,clue
disgust,clumsy
trust,coach
trust,coalesce
trust,coax
fear,cobra
sadness,cocaine
anger,coerce
anger,coercion
trust,coexist
trust,coexisting
fear,coffin
trust,cogent
trust,cohesion
trust,cohesive
surprise,coincidence
anger,coldness
trust,collaborator
disgust,collapse
trust,collateral
trust,collectively
anger,collision
anger,collusion
trust,colonel
fear,coma
fear,comatose
anger,combat
anger,combatant
anger,combative
anticipation,comfort
anticipation,coming
trust,commandant
trust,commanding
anticipation,commemorate
anticipation,commemoration
anticipation,commemorative
joy,commendable
trust,commerce
trust,commission
sadness,committal
trust,committed
trust,committee
trust,commodore
anticipation,commonplace
trust,commonwealth
anger,commotion
trust,communicate
trust,communication
joy,communion
anger,communism
trust,compact
joy,companion
trust,compass
fear,compassion
anticipation,compensate
trust,competence
trust,competency
trust,competent
anticipation,competition
anger,complain
anger,complaint
anticipation,complement
anticipation,completing
anticipation,completion
trust,compliance
anger,complicate
anticipation,compliment
disgust,compost
anger,compress
trust,comptroller
anger,compulsion
trust,comrade
sadness,conceal
anticipation,concealed
anger,concealment
fear,concerned
joy,conciliation
trust,concord
trust,concordance
anger,concussion
anger,condemn
anger,condemnation
anger,condescension
sadness,condolence
trust,confederate
trust,confess
anticipation,confession
fear,confessional
trust,confide
fear,confidence
joy,confident
trust,confidential
trust,confidentially
anger,confine
anger,confined
anger,confinement
trust,confirmation
trust,confirmed
anger,confiscate
anger,conflagration
anger,conflict
trust,conformity
anger,confront
anger,confusion
trust,conglomerate
joy,congratulatory
trust,congregation
disgust,congress
trust,congressman
trust,congruence
anticipation,conjecture
